Country or Area,SNA93 Table Code,Sub Group,Item,SNA93 Item Code,Year,Series,Currency,SNA System,Fiscal Year Type,Value,Value Footnotes
Canada,1.1,Expenditures of the gross domestic product,Household final consumption expenditure,P.3,2019,1000,Canadian dollar,2008,Western calendar year,1.29642E+12,
Canada,1.1,Expenditures of the gross domestic product,NPISHs final consumption expenditure,P.3,2019,1000,Canadian dollar,2008,Western calendar year,34940000000,
Canada,1.1,Expenditures of the gross domestic product,General government final consumption expenditure,P.3,2019,1000,Canadian dollar,2008,Western calendar year,4.8765E+11,
Canada,1.1,Expenditures of the gross domestic product,Gross capital formation,P.5,2019,1000,Canadian dollar,2008,Western calendar year,5.2307E+11,
Canada,1.1,Expenditures of the gross domestic product,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2019,1000,Canadian dollar,2008,Western calendar year,2.30388E+12,
Canada,1.1,Expenditures of the gross domestic product,Household final consumption expenditure,P.3,2018,1000,Canadian dollar,2008,Western calendar year,1.25533E+12,
Canada,1.1,Expenditures of the gross domestic product,NPISHs final consumption expenditure,P.3,2018,1000,Canadian dollar,2008,Western calendar year,33207000000,
Canada,1.1,Expenditures of the gross domestic product,General government final consumption expenditure,P.3,2018,1000,Canadian dollar,2008,Western calendar year,4.65792E+11,
Canada,1.1,Expenditures of the gross domestic product,Gross capital formation,P.5,2018,1000,Canadian dollar,2008,Western calendar year,5.13151E+11,
Canada,1.1,Expenditures of the gross domestic product,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2018,1000,Canadian dollar,2008,Western calendar year,2.22386E+12,
Canada,1.1,Expenditures of the gross domestic product,Household final consumption expenditure,P.3,2017,1000,Canadian dollar,2008,Western calendar year,1.20844E+12,
Canada,1.1,Expenditures of the gross domestic product,NPISHs final consumption expenditure,P.3,2017,1000,Canadian dollar,2008,Western calendar year,31976000000,
Canada,1.1,Expenditures of the gross domestic product,General government final consumption expenditure,P.3,2017,1000,Canadian dollar,2008,Western calendar year,4.44149E+11,
Canada,1.1,Expenditures of the gross domestic product,Gross capital formation,P.5,2017,1000,Canadian dollar,2008,Western calendar year,5.03848E+11,
Canada,1.1,Expenditures of the gross domestic product,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2017,1000,Canadian dollar,2008,Western calendar year,2.14111E+12,
Canada,1.1,Expenditures of the gross domestic product,Household final consumption expenditure,P.3,2016,1000,Canadian dollar,2008,Western calendar year,1.15367E+12,
Canada,1.1,Expenditures of the gross domestic product,NPISHs final consumption expenditure,P.3,2016,1000,Canadian dollar,2008,Western calendar year,30951000000,
Canada,1.1,Expenditures of the gross domestic product,General government final consumption expenditure,P.3,2016,1000,Canadian dollar,2008,Western calendar year,4.26335E+11,
Canada,1.1,Expenditures of the gross domestic product,Gross capital formation,P.5,2016,1000,Canadian dollar,2008,Western calendar year,4.61034E+11,
Canada,1.1,Expenditures of the gross domestic product,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2016,1000,Canadian dollar,2008,Western calendar year,2.02554E+12,
Canada,1.1,Expenditures of the gross domestic product,Household final consumption expenditure,P.3,2015,1000,Canadian dollar,2008,Western calendar year,1.12208E+12,
Canada,1.1,Expenditures of the gross domestic product,NPISHs final consumption expenditure,P.3,2015,1000,Canadian dollar,2008,Western calendar year,28575000000,
Canada,1.1,Expenditures of the gross domestic product,General government final consumption expenditure,P.3,2015,1000,Canadian dollar,2008,Western calendar year,4.15561E+11,
Canada,1.1,Expenditures of the gross domestic product,Gross capital formation,P.5,2015,1000,Canadian dollar,2008,Western calendar year,4.74155E+11,
Canada,1.1,Expenditures of the gross domestic product,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2015,1000,Canadian dollar,2008,Western calendar year,1.99044E+12,
Canada,1.1,Expenditures of the gross domestic product,Household final consumption expenditure,P.3,2014,1000,Canadian dollar,2008,Western calendar year,1.08625E+12,
Canada,1.1,Expenditures of the gross domestic product,NPISHs final consumption expenditure,P.3,2014,1000,Canadian dollar,2008,Western calendar year,26826000000,
Canada,1.1,Expenditures of the gross domestic product,General government final consumption expenditure,P.3,2014,1000,Canadian dollar,2008,Western calendar year,4.04297E+11,
Canada,1.1,Expenditures of the gross domestic product,Gross capital formation,P.5,2014,1000,Canadian dollar,2008,Western calendar year,4.96145E+11,
Canada,1.1,Expenditures of the gross domestic product,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2014,1000,Canadian dollar,2008,Western calendar year,1.9949E+12,
Canada,1.1,Expenditures of the gross domestic product,Household final consumption expenditure,P.3,2013,1000,Canadian dollar,2008,Western calendar year,1.03809E+12,
Canada,1.1,Expenditures of the gross domestic product,NPISHs final consumption expenditure,P.3,2013,1000,Canadian dollar,2008,Western calendar year,26429000000,
Canada,1.1,Expenditures of the gross domestic product,General government final consumption expenditure,P.3,2013,1000,Canadian dollar,2008,Western calendar year,3.93848E+11,
Canada,1.1,Expenditures of the gross domestic product,Gross capital formation,P.5,2013,1000,Canadian dollar,2008,Western calendar year,4.73806E+11,
Canada,1.1,Expenditures of the gross domestic product,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2013,1000,Canadian dollar,2008,Western calendar year,1.90225E+12,
Canada,1.1,Expenditures of the gross domestic product,Household final consumption expenditure,P.3,2012,1000,Canadian dollar,2008,Western calendar year,9.98053E+11,
Canada,1.1,Expenditures of the gross domestic product,NPISHs final consumption expenditure,P.3,2012,1000,Canadian dollar,2008,Western calendar year,25553000000,
Canada,1.1,Expenditures of the gross domestic product,General government final consumption expenditure,P.3,2012,1000,Canadian dollar,2008,Western calendar year,3.8477E+11,
Canada,1.1,Expenditures of the gross domestic product,Gross capital formation,P.5,2012,1000,Canadian dollar,2008,Western calendar year,4.54381E+11,
Canada,1.1,Expenditures of the gross domestic product,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2012,1000,Canadian dollar,2008,Western calendar year,1.8272E+12,
Canada,1.1,Expenditures of the gross domestic product,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2012,200,Canadian dollar,1993,Western calendar year,1.77376E+12,
Canada,1.1,Expenditures of the gross domestic product,Household final consumption expenditure,P.3,2011,1000,Canadian dollar,2008,Western calendar year,9.67084E+11,
Canada,1.1,Expenditures of the gross domestic product,Household final consumption expenditure,P.3,2011,200,Canadian dollar,1993,Western calendar year,9.57396E+11,
Canada,1.1,Expenditures of the gross domestic product,NPISHs final consumption expenditure,P.3,2011,1000,Canadian dollar,2008,Western calendar year,24666000000,
Canada,1.1,Expenditures of the gross domestic product,NPISHs final consumption expenditure,P.3,2011,200,Canadian dollar,1993,Western calendar year,25228000000,
Canada,1.1,Expenditures of the gross domestic product,General government final consumption expenditure,P.3,2011,1000,Canadian dollar,2008,Western calendar year,3.75141E+11,
Canada,1.1,Expenditures of the gross domestic product,General government final consumption expenditure,P.3,2011,200,Canadian dollar,1993,Western calendar year,3.67579E+11,
Canada,1.1,Expenditures of the gross domestic product,Gross capital formation,P.5,2011,1000,Canadian dollar,2008,Western calendar year,4.28462E+11,
Canada,1.1,Expenditures of the gross domestic product,Gross capital formation,P.5,2011,200,Canadian dollar,1993,Western calendar year,3.92104E+11,
Canada,1.1,Expenditures of the gross domestic product,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2011,1000,Canadian dollar,2008,Western calendar year,1.77406E+12,
Canada,1.1,Expenditures of the gross domestic product,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2011,200,Canadian dollar,1993,Western calendar year,1.71992E+12,
Canada,1.1,Expenditures of the gross domestic product,Household final consumption expenditure,P.3,2010,1000,Canadian dollar,2008,Western calendar year,9.2672E+11,
Canada,1.1,Expenditures of the gross domestic product,Household final consumption expenditure,P.3,2010,200,Canadian dollar,1993,Western calendar year,9.1647E+11,
Canada,1.1,Expenditures of the gross domestic product,NPISHs final consumption expenditure,P.3,2010,1000,Canadian dollar,2008,Western calendar year,22899000000,
Canada,1.1,Expenditures of the gross domestic product,NPISHs final consumption expenditure,P.3,2010,200,Canadian dollar,1993,Western calendar year,24150000000,
Canada,1.1,Expenditures of the gross domestic product,General government final consumption expenditure,P.3,2010,1000,Canadian dollar,2008,Western calendar year,3.57791E+11,
Canada,1.1,Expenditures of the gross domestic product,General government final consumption expenditure,P.3,2010,200,Canadian dollar,1993,Western calendar year,3.53569E+11,
Canada,1.1,Expenditures of the gross domestic product,Gross capital formation,P.5,2010,1000,Canadian dollar,2008,Western calendar year,3.91221E+11,
Canada,1.1,Expenditures of the gross domestic product,Gross capital formation,P.5,2010,200,Canadian dollar,1993,Western calendar year,3.60735E+11,
Canada,1.1,Expenditures of the gross domestic product,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2010,1000,Canadian dollar,2008,Western calendar year,1.66605E+12,
Canada,1.1,Expenditures of the gross domestic product,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2010,200,Canadian dollar,1993,Western calendar year,1.62461E+12,
Canada,1.1,Expenditures of the gross domestic product,Household final consumption expenditure,P.3,2009,1000,Canadian dollar,2008,Western calendar year,8.81695E+11,
Canada,1.1,Expenditures of the gross domestic product,Household final consumption expenditure,P.3,2009,200,Canadian dollar,1993,Western calendar year,8.75098E+11,
Canada,1.1,Expenditures of the gross domestic product,NPISHs final consumption expenditure,P.3,2009,1000,Canadian dollar,2008,Western calendar year,22968000000,
Canada,1.1,Expenditures of the gross domestic product,NPISHs final consumption expenditure,P.3,2009,200,Canadian dollar,1993,Western calendar year,23117000000,
Canada,1.1,Expenditures of the gross domestic product,General government final consumption expenditure,P.3,2009,1000,Canadian dollar,2008,Western calendar year,3.45137E+11,
Canada,1.1,Expenditures of the gross domestic product,General government final consumption expenditure,P.3,2009,200,Canadian dollar,1993,Western calendar year,3.37735E+11,
Canada,1.1,Expenditures of the gross domestic product,Gross capital formation,P.5,2009,1000,Canadian dollar,2008,Western calendar year,3.45057E+11,
Canada,1.1,Expenditures of the gross domestic product,Gross capital formation,P.5,2009,200,Canadian dollar,1993,Western calendar year,3.19047E+11,
Canada,1.1,Expenditures of the gross domestic product,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2009,1000,Canadian dollar,2008,Western calendar year,1.57133E+12,
Canada,1.1,Expenditures of the gross domestic product,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2009,200,Canadian dollar,1993,Western calendar year,1.52899E+12,
Canada,1.1,Expenditures of the gross domestic product,Household final consumption expenditure,P.3,2008,1000,Canadian dollar,2008,Western calendar year,8.78509E+11,
Canada,1.1,Expenditures of the gross domestic product,Household final consumption expenditure,P.3,2008,200,Canadian dollar,1993,Western calendar year,8.68029E+11,
Canada,1.1,Expenditures of the gross domestic product,NPISHs final consumption expenditure,P.3,2008,1000,Canadian dollar,2008,Western calendar year,23937000000,
Canada,1.1,Expenditures of the gross domestic product,NPISHs final consumption expenditure,P.3,2008,200,Canadian dollar,1993,Western calendar year,22572000000,
Canada,1.1,Expenditures of the gross domestic product,General government final consumption expenditure,P.3,2008,1000,Canadian dollar,2008,Western calendar year,3.26759E+11,
Canada,1.1,Expenditures of the gross domestic product,General government final consumption expenditure,P.3,2008,200,Canadian dollar,1993,Western calendar year,3.15977E+11,
Canada,1.1,Expenditures of the gross domestic product,Gross capital formation,P.5,2008,1000,Canadian dollar,2008,Western calendar year,3.98891E+11,
Canada,1.1,Expenditures of the gross domestic product,Gross capital formation,P.5,2008,200,Canadian dollar,1993,Western calendar year,3.72598E+11,
Canada,1.1,Expenditures of the gross domestic product,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2008,1000,Canadian dollar,2008,Western calendar year,1.65704E+12,
Canada,1.1,Expenditures of the gross domestic product,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2008,200,Canadian dollar,1993,Western calendar year,1.60342E+12,
Canada,1.1,Expenditures of the gross domestic product,Household final consumption expenditure,P.3,2007,1000,Canadian dollar,2008,Western calendar year,8.42029E+11,
Canada,1.1,Expenditures of the gross domestic product,Household final consumption expenditure,P.3,2007,200,Canadian dollar,1993,Western calendar year,8.30692E+11,
Canada,1.1,Expenditures of the gross domestic product,NPISHs final consumption expenditure,P.3,2007,1000,Canadian dollar,2008,Western calendar year,21395000000,
Canada,1.1,Expenditures of the gross domestic product,NPISHs final consumption expenditure,P.3,2007,200,Canadian dollar,1993,Western calendar year,20911000000,
Canada,1.1,Expenditures of the gross domestic product,General government final consumption expenditure,P.3,2007,1000,Canadian dollar,2008,Western calendar year,3.03708E+11,
Canada,1.1,Expenditures of the gross domestic product,General government final consumption expenditure,P.3,2007,200,Canadian dollar,1993,Western calendar year,2.93608E+11,
Canada,1.1,Expenditures of the gross domestic product,Gross capital formation,P.5,2007,1000,Canadian dollar,2008,Western calendar year,3.77185E+11,
Canada,1.1,Expenditures of the gross domestic product,Gross capital formation,P.5,2007,200,Canadian dollar,1993,Western calendar year,3.55472E+11,
Canada,1.1,Expenditures of the gross domestic product,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2007,1000,Canadian dollar,2008,Western calendar year,1.57766E+12,
Canada,1.1,Expenditures of the gross domestic product,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2007,200,Canadian dollar,1993,Western calendar year,1.52959E+12,
Canada,1.1,Expenditures of the gross domestic product,Household final consumption expenditure,P.3,2006,1000,Canadian dollar,2008,Western calendar year,7.93642E+11,
Canada,1.1,Expenditures of the gross domestic product,Household final consumption expenditure,P.3,2006,200,Canadian dollar,1993,Western calendar year,7.8227E+11,
