"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes"
"Canada","4.9","II.1.1 Generation of income account - Uses","OPERATING SURPLUS, GROSS","B.2g","2019","1000","Canadian dollar","2008","Western calendar year","1416000000",""
"Canada","4.9","II.1.1 Generation of income account - Uses","MIXED INCOME, GROSS","B.3g","2019","1000","Canadian dollar","2008","Western calendar year","277958000000",""
"Canada","4.9","II.2 Secondary distribution of income account - Uses","Current taxes on income, wealth, etc.","D.5","2019","1000","Canadian dollar","2008","Western calendar year","284088000000",""
"Canada","4.9","II.1.1 Generation of income account - Uses","OPERATING SURPLUS, GROSS","B.2g","2018","1000","Canadian dollar","2008","Western calendar year","1409000000",""
"Canada","4.9","II.1.1 Generation of income account - Uses","MIXED INCOME, GROSS","B.3g","2018","1000","Canadian dollar","2008","Western calendar year","265147000000",""
"Canada","4.9","II.2 Secondary distribution of income account - Uses","Current taxes on income, wealth, etc.","D.5","2018","1000","Canadian dollar","2008","Western calendar year","269908000000",""
"Canada","4.9","II.1.1 Generation of income account - Uses","OPERATING SURPLUS, GROSS","B.2g","2017","1000","Canadian dollar","2008","Western calendar year","1423000000",""
"Canada","4.9","II.1.1 Generation of income account - Uses","MIXED INCOME, GROSS","B.3g","2017","1000","Canadian dollar","2008","Western calendar year","256757000000",""
"Canada","4.9","II.2 Secondary distribution of income account - Uses","Current taxes on income, wealth, etc.","D.5","2017","1000","Canadian dollar","2008","Western calendar year","255701000000",""
"Canada","4.9","II.1.1 Generation of income account - Uses","OPERATING SURPLUS, GROSS","B.2g","2016","1000","Canadian dollar","2008","Western calendar year","1486000000",""
"Canada","4.9","II.1.1 Generation of income account - Uses","MIXED INCOME, GROSS","B.3g","2016","1000","Canadian dollar","2008","Western calendar year","244403000000",""
"Canada","4.9","II.2 Secondary distribution of income account - Uses","Current taxes on income, wealth, etc.","D.5","2016","1000","Canadian dollar","2008","Western calendar year","242139000000",""
"Canada","4.9","II.1.1 Generation of income account - Uses","OPERATING SURPLUS, GROSS","B.2g","2015","1000","Canadian dollar","2008","Western calendar year","1532000000",""
